03-24 01:21:20  Not game time, sleep... 
03-24 01:22:20  Not game time, sleep... 
03-24 01:23:20  Not game time, sleep... 
03-24 01:24:20  Not game time, sleep... 
03-24 01:25:20  Not game time, sleep... 
03-24 01:26:20  Not game time, sleep... 
03-24 01:27:20  Not game time, sleep... 
03-24 01:28:20  Not game time, sleep... 
03-24 01:29:20  Not game time, sleep... 
03-24 01:30:20  Not game time, sleep... 
03-24 01:31:20  Not game time, sleep... 
03-24 01:32:20  Not game time, sleep... 
03-24 01:33:20  Not game time, sleep... 
03-24 01:34:20  Not game time, sleep... 
03-24 01:35:20  Not game time, sleep... 
03-24 01:36:20  Not game time, sleep... 
03-24 01:37:20  Not game time, sleep... 
03-24 01:38:20  Not game time, sleep... 
03-24 01:39:20  Not game time, sleep... 
03-24 01:40:20  Not game time, sleep... 
03-24 01:41:20  Not game time, sleep... 
03-24 01:42:20  Not game time, sleep... 
03-24 01:43:20  Not game time, sleep... 
03-24 01:44:20  Not game time, sleep... 
03-24 01:45:20  Not game time, sleep... 
03-24 01:46:20  Not game time, sleep... 
03-24 01:47:20  Not game time, sleep... 
03-24 01:48:20  Not game time, sleep... 
03-24 01:49:20  Not game time, sleep... 
03-24 01:50:20  Not game time, sleep... 
03-24 01:51:20  Not game time, sleep... 
03-24 01:52:20  Not game time, sleep... 
03-24 01:53:20  Not game time, sleep... 
03-24 01:54:20  Not game time, sleep... 
03-24 01:55:20  Not game time, sleep... 
03-24 01:56:20  Not game time, sleep... 
03-24 01:57:20  Not game time, sleep... 
03-24 01:58:20  Not game time, sleep... 
03-24 01:59:20  Not game time, sleep... 
03-24 02:00:20  Not game time, sleep... 
03-24 02:01:20  Not game time, sleep... 
03-24 02:02:20  Not game time, sleep... 
03-24 02:03:20  Not game time, sleep... 
03-24 02:04:20  Not game time, sleep... 
03-24 02:05:20  Not game time, sleep... 
03-24 02:06:20  Not game time, sleep... 
03-24 02:07:20  Not game time, sleep... 
03-24 02:08:20  Not game time, sleep... 
03-24 02:09:20  Not game time, sleep... 
03-24 02:10:20  Not game time, sleep... 
03-24 02:11:20  Not game time, sleep... 
03-24 02:12:20  Not game time, sleep... 
03-24 02:13:20  Not game time, sleep... 
03-24 02:14:20  Not game time, sleep... 
03-24 02:15:20  Not game time, sleep... 
03-24 02:16:20  Not game time, sleep... 
03-24 02:17:20  Not game time, sleep... 
03-24 02:18:20  Not game time, sleep... 
03-24 02:19:20  Not game time, sleep... 
03-24 02:20:20  Not game time, sleep... 
03-24 02:21:20  Not game time, sleep... 
03-24 02:22:20  Not game time, sleep... 
03-24 02:23:20  Not game time, sleep... 
03-24 02:24:20  Not game time, sleep... 
03-24 02:25:20  Not game time, sleep... 
03-24 02:26:20  Not game time, sleep... 
03-24 02:27:20  Not game time, sleep... 
03-24 02:28:20  Not game time, sleep... 
03-24 02:29:20  Not game time, sleep... 
03-24 02:30:20  Not game time, sleep... 
03-24 02:31:20  Not game time, sleep... 
03-24 02:32:20  Not game time, sleep... 
03-24 02:33:20  Not game time, sleep... 
03-24 02:34:20  Not game time, sleep... 
03-24 02:35:20  Not game time, sleep... 
03-24 02:36:20  Not game time, sleep... 
03-24 02:37:20  Not game time, sleep... 
03-24 02:38:20  Not game time, sleep... 
03-24 02:39:21  Not game time, sleep... 
03-24 02:40:21  Not game time, sleep... 
03-24 02:41:21  Not game time, sleep... 
03-24 02:42:21  Not game time, sleep... 
03-24 02:43:21  Not game time, sleep... 
03-24 02:44:21  Not game time, sleep... 
03-24 02:45:21  Not game time, sleep... 
03-24 02:46:21  Not game time, sleep... 
03-24 02:47:21  Not game time, sleep... 
03-24 02:48:21  Not game time, sleep... 
03-24 02:49:21  Not game time, sleep... 
03-24 02:50:21  Not game time, sleep... 
03-24 02:51:21  Not game time, sleep... 
03-24 02:52:21  Not game time, sleep... 
03-24 02:53:21  Not game time, sleep... 
03-24 02:54:21  Not game time, sleep... 
03-24 02:55:21  Not game time, sleep... 
03-24 02:56:21  Not game time, sleep... 
03-24 02:57:21  Not game time, sleep... 
03-24 02:58:21  Not game time, sleep... 
03-24 02:59:21  Not game time, sleep... 
03-24 03:00:21  Not game time, sleep... 
03-24 03:01:21  Not game time, sleep... 
03-24 03:02:21  Not game time, sleep... 
03-24 03:03:21  Not game time, sleep... 
03-24 03:04:21  Not game time, sleep... 
03-24 03:05:21  Not game time, sleep... 
03-24 03:06:21  Not game time, sleep... 
03-24 03:07:21  It is Game time. 
03-24 03:07:21  Prepare Platform 
03-24 03:07:21  Platform is already running. 
03-24 03:07:53  Start Player successfully. 
03-24 03:07:53  Find postion, x=192, y=93 
03-24 03:07:56  Start Battle 
03-24 03:07:56  Saved Screen to file: 2018_03_24__03_07_56.png 
03-24 03:08:02  Check wide mode 
03-24 03:08:08  current is stand mode, does not need change 
03-24 03:08:13  File m_start.jpg exist, I will delete it first. 
03-24 03:08:13  Find postion, x=192, y=93 
03-24 03:08:13  Save screen for File m_start.jpg done. 
03-24 03:08:18  Total have win: 0/0 
03-24 03:08:18  Start Match 
03-24 03:08:21  start round match 
03-24 03:08:23  Looking for image: matching.png 
03-24 03:08:23  Still in matching 
03-24 03:08:26  Looking for image: matching.png 
03-24 03:08:26  Still in matching 
03-24 03:08:28  Looking for image: matching.png 
03-24 03:08:29  Still in matching 
03-24 03:08:31  Looking for image: matching.png 
03-24 03:08:37  Not found matching.png, maybe match done 
03-24 03:08:39  Looking for image: matching.png 
03-24 03:08:44  Not found matching.png, maybe match done 
03-24 03:08:44  matching done 
03-24 03:08:59  Select card. 
03-24 03:09:04  Wait for succeed 
03-24 03:09:22  Looking for image: bk1.png 
03-24 03:09:23  I win this round 
03-24 03:09:23  Total have win: 1/1 
03-24 03:09:23  Start Match 
03-24 03:09:25  start round match 
03-24 03:09:27  Looking for image: matching.png 
03-24 03:09:28  Still in matching 
03-24 03:09:30  Looking for image: matching.png 
03-24 03:09:31  Still in matching 
03-24 03:09:33  Looking for image: matching.png 
03-24 03:09:33  Still in matching 
03-24 03:09:36  Looking for image: matching.png 
03-24 03:09:36  Still in matching 
